City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Vanimo,PG,-2.6741,141.3028,85.39,68,86,4.18,overcast clouds,2021-07-23 02:44:27
1,Busselton,AU,-33.65,115.3333,56.05,72,97,21.39,overcast clouds,2021-07-23 02:44:28
2,Port Alfred,ZA,-33.5906,26.891,51.66,70,85,18.92,light rain,2021-07-23 02:42:13
3,Mataura,NZ,-46.1927,168.8643,52.48,72,50,3.06,scattered clouds,2021-07-23 02:40:15
4,Kodiak,US,57.79,-152.4072,53.11,94,90,15.43,mist,2021-07-23 02:44:28
5,Lagoa,PT,39.05,-27.9833,67.64,79,27,11.68,scattered clouds,2021-07-23 02:44:28
6,Ushuaia,AR,-54.8,-68.3,38.86,70,40,3.44,scattered clouds,2021-07-23 02:44:29
7,Pevek,RU,69.7008,170.3133,43.92,67,6,7.36,clear sky,2021-07-23 02:44:29
8,Hermanus,ZA,-34.4187,19.2345,42.91,74,59,10.02,broken clouds,2021-07-23 02:44:29
9,Tailai,CN,46.3833,123.4,88.79,45,39,19.17,scattered clouds,2021-07-23 02:44:29
10,Hilo,US,19.7297,-155.09,77.25,94,90,3.44,light rain,2021-07-23 02:44:30
11,Tiksi,RU,71.6872,128.8694,47.62,74,100,10.38,overcast clouds,2021-07-23 02:44:30
12,Rabo De Peixe,PT,37.8,-25.5833,63.91,82,20,3.44,few clouds,2021-07-23 02:44:30
13,New Norfolk,AU,-42.7826,147.0587,57.92,38,43,7.49,scattered clouds,2021-07-23 02:42:03
14,Atuona,PF,-9.8,-139.0333,77.23,75,96,11.21,overcast clouds,2021-07-23 02:44:31
15,Kahului,US,20.8947,-156.47,85.26,70,40,23.02,scattered clouds,2021-07-23 02:42:11
16,Airai,TL,-8.9266,125.4092,76.12,23,7,3.49,clear sky,2021-07-23 02:44:31
17,Saskylakh,RU,71.9167,114.0833,67.1,63,66,9.78,broken clouds,2021-07-23 02:44:31
18,Hobart,AU,-42.8794,147.3294,58.26,55,75,4.0,broken clouds,2021-07-23 02:44:31
19,Provideniya,RU,64.3833,-173.3,46.51,76,0,11.18,clear sky,2021-07-23 02:44:32
20,Bluff,NZ,-46.6,168.3333,52.81,66,89,9.82,overcast clouds,2021-07-23 02:40:17
21,Rikitea,PF,-23.1203,-134.9692,73.74,74,4,19.84,light rain,2021-07-23 02:42:01
22,Puerto Cabezas,NI,14.0351,-83.3888,79.43,86,100,11.5,overcast clouds,2021-07-23 02:44:32
23,Montbrison,FR,45.6667,4.0833,64.26,87,7,2.89,clear sky,2021-07-23 02:44:32
24,Puerto Ayora,EC,-0.7393,-90.3518,72.55,87,97,4.0,overcast clouds,2021-07-23 02:44:33
25,Arraial Do Cabo,BR,-22.9661,-42.0278,68.36,74,17,10.45,few clouds,2021-07-23 02:42:19
26,Broome,US,42.2506,-75.833,62.67,78,87,1.99,overcast clouds,2021-07-23 02:44:33
27,Port Shepstone,ZA,-30.7414,30.455,54.95,53,22,27.2,few clouds,2021-07-23 02:44:33
28,Tongzi,CN,28.7829,105.0877,86.4,72,31,2.71,scattered clouds,2021-07-23 02:44:34
29,Guerrero Negro,MX,27.9769,-114.0611,71.22,80,100,14.34,overcast clouds,2021-07-23 02:44:34
30,Callaway,US,30.153,-85.5699,84.13,80,1,3.0,clear sky,2021-07-23 02:44:34
31,Iquique,CL,-20.2208,-70.1431,59.04,73,58,0.69,broken clouds,2021-07-23 02:44:34
32,Campbell River,CA,50.0163,-125.2446,72.32,55,75,3.44,broken clouds,2021-07-23 02:44:35
33,Prado,BR,-17.3411,-39.2208,67.55,75,66,7.36,broken clouds,2021-07-23 02:44:35
34,Pangkalanbuun,ID,-2.6833,111.6167,88.16,56,91,3.67,overcast clouds,2021-07-23 02:40:27
35,Goderich,CA,43.7501,-81.7165,63.91,77,99,3.44,overcast clouds,2021-07-23 02:44:35
36,Atbasar,KZ,51.8,68.3333,75.79,39,8,8.19,clear sky,2021-07-23 02:44:36
