City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avera,US,77.72,overcast clouds,33.194,-82.5271,
4,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Rikitea,PF,72.52,clear sky,-23.1203,-134.9692,People ThankYou
11,Atuona,PF,77.58,scattered clouds,-9.8,-139.0333,Villa Enata
18,Butaritari,KI,83.12,few clouds,3.0707,172.7902,Isles Sunset Lodge
20,Encheng,CN,84.96,light rain,22.1839,112.3026,Pinghu Hostel
23,Westport,US,72.75,clear sky,41.1415,-73.3579,The Westport Inn
31,Namatanai,PG,81.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
32,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
35,Buala,SB,84.04,light rain,-8.145,159.5921,Maringe Lagoon Lodge
37,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
39,Avarua,CK,78.85,clear sky,-21.2078,-159.775,Paradise Inn
42,Saint Anthony,US,75.52,haze,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
44,Saint George,US,88.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
48,Pitimbu,BR,72.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
51,Vostok,RU,86.0,scattered clouds,46.4856,135.8833,
53,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
56,Sabang,ID,83.59,scattered clouds,5.8933,95.3214,Hotel Citra
65,Mangan,IN,83.05,overcast clouds,27.5167,88.5333,Hotel Mout View
67,Mahibadhoo,MV,83.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
69,Meulaboh,ID,85.62,overcast clouds,4.1363,96.1285,Kost Pria
72,Hithadhoo,MV,82.29,overcast clouds,-0.6,73.0833,Scoop Guest House
74,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
78,Nishihara,JP,80.65,heavy intensity shower rain,26.1842,127.7558,Minshuku Agaihama
80,Port Blair,IN,83.34,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
