City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,87,75,0.0,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,44.91,69,44,10.33,light rain
2,Buraydah,SA,26.326,43.975,91.85,14,5,13.58,clear sky
3,Avera,US,33.194,-82.5271,77.72,90,98,4.74,overcast clouds
4,Kapaa,US,22.0752,-159.319,80.92,79,75,5.01,light rain
5,Victoria,HK,22.2855,114.1577,90.32,73,39,1.99,scattered clouds
6,Port Alfred,ZA,-33.5906,26.891,46.92,85,90,30.09,moderate rain
7,Bredasdorp,ZA,-34.5322,20.0403,43.92,81,73,8.05,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,72.52,67,1,15.21,clear sky
9,Deputatskiy,RU,69.3,139.9,57.02,61,100,7.07,overcast clouds
10,Henties Bay,NA,-22.116,14.2845,53.96,78,0,4.29,clear sky
11,Atuona,PF,-9.8,-139.0333,77.58,68,47,15.23,scattered clouds
12,Nouadhibou,MR,20.931,-17.0347,67.98,88,40,19.57,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,48.47,90,45,2.89,scattered clouds
14,Saskylakh,RU,71.9167,114.0833,67.8,45,100,16.46,overcast clouds
15,Kaitangata,NZ,-46.2817,169.8464,48.92,73,55,5.23,broken clouds
16,Busselton,AU,-33.65,115.3333,56.05,66,94,8.77,overcast clouds
17,Panjab,AF,34.388,67.0233,62.42,29,0,8.95,clear sky
18,Butaritari,KI,3.0707,172.7902,83.12,74,20,12.28,few clouds
19,Cabrero,CL,-37.0333,-72.4,48.63,84,100,2.44,overcast clouds
20,Encheng,CN,22.1839,112.3026,84.96,72,97,5.19,light rain
21,Kodiak,US,57.79,-152.4072,53.83,90,100,7.76,overcast clouds
22,Esperance,AU,-33.8667,121.9,55.24,58,49,15.46,scattered clouds
23,Westport,US,41.1415,-73.3579,72.75,81,1,5.99,clear sky
24,New Norfolk,AU,-42.7826,147.0587,57.92,55,99,4.0,overcast clouds
25,Dunedin,NZ,-45.8742,170.5036,47.8,77,88,7.0,overcast clouds
26,Zhigansk,RU,66.7697,123.3711,69.51,42,97,1.25,overcast clouds
27,Bongaree,AU,-27.0797,153.1586,69.53,50,1,5.01,clear sky
28,Jamestown,US,42.097,-79.2353,60.44,87,40,1.01,scattered clouds
29,Faya,SA,18.3851,42.4509,62.71,83,79,10.42,broken clouds
30,Ulladulla,AU,-35.35,150.4667,60.87,43,27,10.67,scattered clouds
31,Namatanai,PG,-3.6667,152.4333,81.41,79,65,5.7,light rain
32,Salalah,OM,17.0151,54.0924,78.89,94,75,9.22,broken clouds
33,Albany,US,42.6001,-73.9662,61.61,94,1,4.21,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,33.91,100,75,4.61,broken clouds
35,Buala,SB,-8.145,159.5921,84.04,71,27,5.97,light rain
36,Capim Grosso,BR,-11.3811,-40.0128,63.79,94,45,7.85,scattered clouds
37,Saint-Philippe,RE,-21.3585,55.7679,71.19,73,47,13.29,scattered clouds
38,Vaini,TO,-21.2,-175.2,77.16,83,20,8.05,few clouds
39,Avarua,CK,-21.2078,-159.775,78.85,78,0,3.44,clear sky
40,Campana,AR,-34.1687,-58.9591,55.09,86,83,4.79,broken clouds
41,Cape Town,ZA,-33.9258,18.4232,45.12,93,75,5.75,broken clouds
42,Saint Anthony,US,45.0205,-93.218,75.52,83,1,12.66,haze
43,Saquarema,BR,-22.92,-42.5103,62.02,88,88,3.71,overcast clouds
44,Saint George,US,37.1041,-113.5841,88.36,45,1,7.0,clear sky
45,Vallenar,CL,-28.5708,-70.7581,59.22,41,26,1.63,scattered clouds
46,Bozoum,CF,6.3193,16.3799,68.41,89,100,3.78,overcast clouds
47,Port Lincoln,AU,-34.7333,135.8667,47.91,85,100,5.99,overcast clouds
48,Pitimbu,BR,-7.4706,-34.8086,72.19,83,22,13.35,few clouds
49,East London,ZA,-33.0153,27.9116,49.14,53,0,20.71,light rain
50,Hobart,AU,-42.8794,147.3294,58.26,51,75,5.01,broken clouds
51,Vostok,RU,46.4856,135.8833,86.0,49,45,6.02,scattered clouds
52,Eirunepe,BR,-6.6603,-69.8736,67.69,70,6,2.42,clear sky
53,Hilo,US,19.7297,-155.09,78.53,78,75,8.05,light rain
54,Cidreira,BR,-30.1811,-50.2056,52.57,70,0,3.96,clear sky
55,Camabatela,AO,-8.1881,15.375,59.7,35,0,5.7,clear sky
56,Sabang,ID,5.8933,95.3214,83.59,74,47,22.21,scattered clouds
57,Wageningen,NL,51.9667,5.6667,63.09,91,11,3.96,few clouds
58,Verkhnyaya Inta,RU,65.9811,60.3094,45.93,78,84,15.9,broken clouds
59,Constitucion,CL,-35.3333,-72.4167,52.63,88,100,1.5,overcast clouds
60,Ribeira Grande,PT,38.5167,-28.7,68.41,67,42,15.01,scattered clouds
61,Lebu,CL,-37.6167,-73.65,50.11,91,100,3.94,overcast clouds
62,Carnarvon,AU,-24.8667,113.6333,69.87,54,3,10.36,clear sky
63,Bluff,NZ,-46.6,168.3333,48.79,61,46,10.33,scattered clouds
64,Luderitz,NA,-26.6481,15.1594,51.21,38,7,14.43,clear sky
65,Mangan,IN,27.5167,88.5333,83.05,81,98,3.11,overcast clouds
66,Dikson,RU,73.5069,80.5464,51.8,65,100,17.07,overcast clouds
67,Mahibadhoo,MV,3.7833,72.9667,83.28,75,100,15.5,overcast clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,100,90,11.5,fog
69,Meulaboh,ID,4.1363,96.1285,85.62,62,93,2.26,overcast clouds
70,Tasiilaq,GL,65.6145,-37.6368,44.76,98,100,9.24,moderate rain
71,Bethel,US,41.3712,-73.414,69.49,86,0,7.72,clear sky
72,Hithadhoo,MV,-0.6,73.0833,82.29,73,100,12.59,overcast clouds
73,Santa Cruz,BO,-17.8,-63.1667,56.66,77,19,5.75,few clouds
74,Alofi,NU,-19.0595,-169.9187,76.89,88,54,14.97,broken clouds
75,Ponta Do Sol,PT,32.6667,-17.1,68.72,81,0,4.61,clear sky
76,Hukuntsi,BW,-24.0,21.75,30.0,54,0,8.19,clear sky
77,Klaksvik,FO,62.2266,-6.589,52.72,93,22,11.45,few clouds
78,Nishihara,JP,26.1842,127.7558,80.65,100,90,29.93,heavy intensity shower rain
79,Inta,RU,66.0317,60.1659,46.11,77,85,15.57,overcast clouds
80,Port Blair,IN,11.6667,92.75,83.34,83,100,22.24,overcast clouds
81,Vuktyl,RU,63.8567,57.3094,56.84,50,5,6.58,clear sky
82,Airai,TL,-8.9266,125.4092,75.18,34,90,4.09,overcast clouds
83,Ghugus,IN,19.9333,79.1333,79.77,87,98,12.26,overcast clouds
84,Nanortalik,GL,60.1432,-45.2371,42.44,97,91,12.62,overcast clouds
85,Kaeo,NZ,-35.1,173.7833,60.33,84,90,6.98,overcast clouds
86,Saint Andrews,US,34.0454,-81.1293,76.78,80,99,5.41,overcast clouds
87,Roma,US,43.2128,-75.4557,62.46,92,20,0.0,few clouds
88,Wagar,SD,16.1525,36.2032,76.37,74,83,15.95,broken clouds
89,Ouango,CF,4.3133,22.5552,72.21,84,100,1.43,overcast clouds
90,Norsup,VU,-16.0667,167.3833,80.65,75,34,5.61,scattered clouds
91,Asfi,MA,32.2994,-9.2372,68.34,83,4,16.75,clear sky
92,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,82,86,6.51,overcast clouds
93,Khatanga,RU,71.9667,102.5,54.34,87,100,2.73,overcast clouds
94,Ketchikan,US,55.3422,-131.6461,55.87,94,90,4.61,light rain
95,Anadyr,RU,64.75,177.4833,55.9,71,20,8.95,few clouds
96,Nikolskoye,RU,59.7035,30.7861,61.79,57,67,9.33,broken clouds
97,Barrow,US,71.2906,-156.7887,37.42,87,90,18.41,overcast clouds
98,Mount Isa,AU,-20.7333,139.5,80.37,17,6,10.36,clear sky
99,Cancun,MX,21.1743,-86.8466,80.51,88,18,8.39,few clouds
100,Nizhniy Odes,RU,63.6445,54.856,56.21,49,2,5.75,clear sky
101,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,87,0,13.8,clear sky
102,Riyadh,SA,24.6877,46.7219,98.74,26,27,14.16,scattered clouds
